,seeds1,seeds2,moves,player1,player2
53348,26,17,36325261252134335235243344362132524161156251662442314251651613154432213442635165262435123124433244536516,7541,1952
53371,27,10,363243326243111342224331566421324354656651451425334554621524154351352443325443546522132431425165112233455466,1765,1952
53423,27,16,363224213262536435342553613422331545246251613542516663243244536621122435,246,1952
53475,16,25,3632144154264132142356445565441526312314352612522334435,1765,1952
53507,14,26,363156232522335451253211453445225142614512354425365243141542314363246615325,246,1952
53522,26,11,36315122165112331655145121311615261251664655215445523621144332244334456,5984,1952
53571,28,14,36256151141163152254256131423524154335243541645166621554631126,246,1952
53912,4,26,354335425262142124366135232632152435556141556114131422,1952,1214
53917,25,18,3543354153125325524442354112452465443312334612412511224416152613563354425165544354651226,8302,1952
53965,30,8,35363151115421541615161314315615161226526655266112314,4319,1952
54007,19,25,353455245533253411151453455466642133445116151261133264265566411224355344556316,5984,1952
54008,26,13,3534552435532534651254133451613242133423311422513441526563255442155433255445365361415266112412261445135534264,5984,1952
54010,14,25,35345523255435522335143652453256244531341226151451625132253416153613265531526344526625,5984,1952
54021,8,27,353425335314356523341133253654132435264652615243542645364163511,5260,1952
54095,26,18,3533624563112541613251452315365345526613223541526611223346551465132436,7884,1952
54148,26,18,353352212311513223566632632456156646533554253152614155665122441613243526514261523324152661524334251651426251322315244536516,5984,1952
54319,25,18,35245425324251155445314225443546523441526354652214332446211443522334514262516623321123425433614253661122334514253661514233416122341335244536615,4953,1952
54348,26,0,3523354555141523356662263136,1443,1952
54354,25,0,35231531456255665143223344,1443,1952
54361,29,2,3523111413221433225464334661516112632425,4997,1952
54453,8,26,35115315213345521523355141566556331524435465142533421524334551651124325161415566,7742,1952
54456,26,3,3511354155242533253451435516644533441216,2257,1952
54824,17,25,3455341533233512156444552662131615142156,3531,1952
54847,29,11,3454264356121614135446511443523453442566,7916,1952
54956,26,9,34541531213545541526554455213445665566112534455241612432435244353325144161553344223355445566,7831,1952
54966,2,26,345413432244233446313423443214455663,4953,1952
55005,27,6,3453243111543344231451433426531544234561135563445522316,5984,1952
55078,25,20,345215245533352435654316132215145464231422544333445155416115432135534153666332264331615143526513425133425326346655364213516341352452443355442625166251332452134534452651326241233213243546516,3531,1952
55388,13,27,3441512251223443514253243652433426456631614122335161426351611465221536516,7742,1952
55437,29,7,342623543356111423524451233445654235542512433124524536,625,1952
55448,31,5,34262234131611142366466354661225,3320,1952
55559,27,0,3423341114332435233412152413342132556654365262431235,5958,1952
55638,17,26,342243223454634452243344551661562534416151621614263311425325243546615243344516516,246,1952
55717,25,4,342213142114544453342241334251645344566431514354655335415564352335425145332536,6308,1952
55745,10,30,3421432134463145412216423143566,7742,1952
55833,25,10,3416122611143225441122445341142265516141522445531544255645536134426251653634224152351433411534426,1952,246
55893,9,25,34131242332443345443542234134425544256431231511426524152231425163151422415534435566,7815,1952
55927,14,29,34124354215443521433445565442315342665164131422514452335445,3210,1952
55928,25,7,34124353641144532233615345536665536615223341526316,7884,1952
55994,26,13,34124314245433441254255445665114534154325144532452433451425366541354452354455236132435465112233466,3210,1952
56073,8,27,3411432244233441133425463412433441566546523341226,2791,1952
56208,29,0,3363541543253344556513253445566453621534152355446352653443546511,1952,603
56409,11,26,336215134233415115335542255345325344655266632153423436,246,1952
56576,12,33,335363262223426123564253132131614155665213161411514451251325443144536524334451651126645513452452231152432524551636554453255442355344556416,1952,3531
