,seeds1,seeds2,moves,player1,player2
29009,29,2,612261316122333465666332122334455,5714,7112
29914,9,25,61121314523262531422142161544114522534131554452112332446552631416,7919,5714
39615,10,26,5243353124213245536332415411533426651123345561423445,8345,5714
39616,11,26,524335312411542361411453223466514461325443541615,7919,5714
39624,6,26,5243251425415413346354665161135615124161242161513635664245245566,4305,5714
39626,14,26,5243251421146151455425133562112351466446,8345,5714
39627,12,25,524325142114615124435262132136315141554654156526215435465266413245243365,8345,5714
39629,15,25,5243251421143151151442635522311361524664,7919,5714
39630,9,25,52432514211431511514421134632162443352624663142132435415,7919,5714
39849,14,25,52364255434441224153162312451421534253161514254666331161226351433436,7435,5714
39853,4,25,5236425543443132261122513523262531141224336544,504,5714
39854,5,25,52364255434431211252262546653655442566433511136126,1568,5714
39856,11,25,52364255434424313212431422513443546251443356455423544253315342161514161325345165,1568,5714
39904,13,29,52363562433224223366311564355224443112625365123443546126,7919,5714
39908,13,25,5236354556343645561321542533653423556141345546435432143151225362415235233435,3590,5714
39909,11,26,5236354556343645231113245234435466,7534,5714
39910,25,23,523635455624562533111553253442665543316151422416151344362516516,8345,5714
39911,15,26,52363545562426333456214625115564533614324625,1568,5714
39912,9,26,52363545562426332115114251262336524165433435,7534,5714
39914,15,25,523635453433212625331145561213364511522425335241541322344365,2620,5714
40383,20,25,523614154536422115245645115223225142362514433426451666453661224334152661324314253661421324354656614554334225543345546625133251445361223443546615,1568,5714
41032,23,25,52262161354125532452355246415414522155244216155325143251435266,3711,5714
41142,6,25,52262115161133161233251153453152412342334465,8179,5714
41198,26,22,522613154432544354161536511265334151266426,8345,5714
41731,12,25,52161161234413561422665136425164131125,5834,5714
41734,9,25,521611612311256654161531221615142334516246,389,5714
41735,19,29,52161161231125242231223356345145,4851,5714
41744,8,25,521611354426544552654131655613145244251361,246,5714
45395,8,26,4562241543251432544215136326536132141516,246,5714
45982,26,7,45235463222415143113151226556316,5714,2791
46733,23,25,451215441565333265142122151632141314416155611433425561246553455234435465112233445566,2620,5714
49261,25,19,426234662364366142342521614152464526541352215315161412235544553156351443562514524566251652316153614122153423453445615166413224133544263516516,5061,5714
49262,28,20,4262346623643661422644134122554136334522316213514352261324653661514161,8345,5714
49307,10,26,4262343541354421124314465645164213552342325342536651265244132144513532436455,1568,5714
49353,6,25,42622461164123143161145134621431522622114524411526136655445522625136,4305,5714
49354,13,25,42622461164123143126425643523345423431514352233634252666534564512243561355124351225344314226631223314165125161233244363125,246,5714
49355,14,26,42622461164123143126421553361426413665,7919,5714
49356,13,26,426224611624451233264421326146531442623344536551654432556345541526,7919,5714
49433,12,27,4262243622352346653612452466122155436112144336,5495,5714
49446,13,27,42622436111252442335464133242615112224161513413455655213613253462426,1443,5714
49487,24,24,426224254325446554113455233163446556351344326611214252344354661513243243516,246,5714
49488,11,25,426224254315425412212456366645161315423543215312233152614366446642334452652216,246,5714
49557,12,25,426214612341144542241612564465124423221611155216116122346326,246,5714
49570,25,7,426214253442146536633241161516134554132635416216,5714,246
50031,16,26,422565241113224315166413442656633126516132264526,4840,5714
50094,4,26,422532463334312623443243151425315662,246,5714
50096,2,25,42253246333426253116112442316553,246,5714
50141,23,25,422524523324412453353422114645132566152611423362556342532455,2620,5714
50145,7,26,42252452241523225365223114266336,2620,5714
50146,11,26,42252452241523221325543566111614151241615462231122462526,2620,5714
50153,2,26,42252434452325344552233514365265413466,246,5714
50154,6,25,4225243445136554654253266156,246,5714
50165,26,22,42252425131524423164251255622654333416151661413243216151433415422334,2620,5714
50354,17,27,4225215133354152155446436641215211632142533532435122343566,706,5714
50355,4,26,422521513335412256554354215244652615544152345142542623451142543551425326,2620,5714
50360,15,25,42252151333522411142332611451332516635145323543143546645114453222635,2620,5714
50373,20,25,42252151331124524621151226142666453365261415512254435436251661135432561513216152614153613243541615,246,5714
50451,12,26,42252114133262411524654665445634131511245161422465,2620,5714
50452,4,26,42252114132243344356514511561332412421513342536614,2620,5714
50650,29,9,42152165361415312462354155443213551244214235132534654156,5714,246
50691,6,28,421514541223221423355463212436,2620,5714
50695,25,6,4215142312451423456554354364556215233544556661365523,5714,246
54463,11,29,34664353642211122624133425,2166,5714
54477,11,25,34662435232446236415146522153615552455361311651341342612152416,1443,5714
54479,2,28,346624151633166514321446621514253465431116151344122241615445224114225613,1160,5714
54480,14,26,34662415163316651432142433466456644511523155234135426215512415231546526446,1568,5714
54481,8,25,346624151633163544222462334452344326414325235232621411643246415213564455,1568,5714
54482,7,26,34662415163316351462145664132664533462534433422433445261555643,6401,5714
54483,12,26,3466241516331635142224331615162112352346544615655134223316,6401,5714
54484,23,25,346624151611162135112435465522215416122321344366513345244216,6401,5714
54491,0,25,3466142556465466331516,5216,5714
55358,26,10,3441666351122466526556,5714,2791
56569,2,30,335422165115541325566425562112442546615,5714,1160
71318,9,25,22641513154265212624366141536266,5127,5714
72241,8,26,225422152115451452244136551421453451455342536451655112431436316141541335,8185,5714
76662,11,27,2164551624121613151435663413463422311612615161415215131526,5127,5714
